Source,Title,MW,SQM,Substation,URL,Score,Status
Hub Page,SPZ (Amended) EIA Screening Report May24.pdf,50 megawatt,"698,830 square metre",Yes,https://slough.citizenspace.com/planning-policy/spz/supporting_documents/SPZ%20Amended%20EIA%20Screening%20Report%20May24.pdf,6,CRITICAL
Hub Page,SPZ  Deposit Written Scheme,N/A,"600,000 sqm",Yes,https://slough.citizenspace.com/planning-policy/spz/supporting_documents/SPZ%20%20deposit%20scheme%20%20Written%20Statement.pdf,3,HIGH
Hub Page,SPZ-Deposit Consultation - Appendices (merged).pdf,N/A,"1,000 sqm",Yes,https://slough.citizenspace.com/planning-policy/spz/supporting_documents/SPZDeposit%20Consultation%20%20Appendices%20merged.pdf,3,HIGH
Hub Page,download the PDF,N/A,"55,000 sq m",No,https://slough.citizenspace.com/planning-policy/spz/user_uploads/spz-non-technical-summary.pdf,2,MEDIUM
Hub Page,Non Technical Summary,N/A,"55,000 sq m",No,https://slough.citizenspace.com/planning-policy/spz/user_uploads/spz-non-technical-summary.pdf,2,MEDIUM
Hub Page,Appendix 2 - Demolition_Construction Environmental Management Plan.pdf,N/A,"1,000 sqm",No,https://slough.citizenspace.com/planning-policy/spz/supporting_documents/Appendix%202%20%20Demolition_Construction%20Environmental%20Management%20Plan.pdf,2,MEDIUM
Hub Page,Appendix 3 - Construction Traffic Management Plan.pdf,N/A,"1,000sqm",No,https://slough.citizenspace.com/planning-policy/spz/supporting_documents/Appendix%203%20%20Construction%20Traffic%20Management%20Plan.pdf,2,MEDIUM
Direct PDF,ldf-annual-monitoring-report-2024-25,N/A,"1,000 sqm",No,https://www.slough.gov.uk/downloads/file/4813/ldf-annual-monitoring-report-2024-25,2,MEDIUM
Hub Page,Appendix 1 - Design Code.pdf,N/A,N/A,Yes,https://slough.citizenspace.com/planning-policy/spz/supporting_documents/Appendix%201%20%20Design%20Code.pdf,1,MEDIUM
Direct PDF,Spatial%20Strategy%20Appendix.pdf,N/A,N/A,Yes,https://slough.moderngov.co.uk/documents/s74693/Spatial%20Strategy%20Appendix.pdf,1,MEDIUM
Hub Page,download the PDF,N/A,N/A,No,https://slough.citizenspace.com/planning-policy/spz/user_uploads/cabinet-version-statement-of-reasons-and-decisions.pdf,0,MONITOR
Hub Page,SPZ-Deposit Consultation - Plans (merged).pdf,N/A,N/A,No,https://slough.citizenspace.com/planning-policy/spz/supporting_documents/SPZDeposit%20Consultation%20%20Plans%20merged.pdf,0,MONITOR
